DAY,MONTH,BELGIUM,VLAANDEREN,WALLONIE,BRUSSELS,PROVINCIE ANTWERPEN,PROVINCIE VLAAMS BRABANT,PROVINCE BRABANT WALLON,PROVINCIE WEST VLAANDEREN,PROVINCIE OOST VLAANDEREN,PROVINCE HAINAUT,PROVINCE LIEGE,PROVINCIE LIMBURG,PROVINCE LUXEMBOURG,PROVINCE NAMUR
26,7,32774,18995,10432,3347,5278,3337,1160,3445,4484,3876,3077,2451,834,1485
27,7,33161,19170,10619,3372,5462,3339,1194,3444,4401,3887,3242,2524,849,1447
28,7,32541,18922,10331,3288,5217,3339,1201,3429,4403,3780,3076,2534,858,1416
29,7,32448,18846,10324,3278,5240,3329,1241,3506,4336,3705,3103,2435,812,1463
30,7,31987,18846,9990,3151,5260,3333,1116,3410,4299,3682,3012,2544,829,1351
31,7,31688,18529,10031,3128,5172,3258,1108,3380,4266,3678,3064,2453,765,1416
1,8,34328,19856,10683,3789,5735,3414,1138,3488,4618,3953,3405,2601,849,1338
2,8,32207,18721,10082,3404,5224,3311,1142,3362,4263,3714,3037,2561,854,1335
3,8,32302,18810,10198,3294,5453,3318,1158,3243,4322,3772,3110,2474,788,1370
4,8,32259,18749,10253,3257,5314,3412,1141,3330,4164,3755,3069,2529,833,1455
5,8,32422,18827,10167,3428,5339,3333,1146,3318,4393,3758,3104,2444,778,1381
6,8,32124,18588,10154,3382,5226,3348,1115,3323,4197,3619,3199,2494,820,1401
7,8,32315,18741,10320,3254,5326,3266,1123,3297,4388,3876,3057,2464,871,1393
8,8,32832,19047,10319,3466,5287,3370,1145,3452,4413,3793,3249,2525,800,1332
9,8,31499,18335,10035,3129,5189,3187,1098,3229,4267,3697,3065,2463,822,1353
10,8,33600,19390,10548,3662,5548,3339,1184,3456,4366,3850,3250,2681,810,1454
11,8,32146,18669,10284,3193,5286,3298,1135,3401,4241,3819,3114,2443,825,1391
12,8,32668,18958,10367,3343,5364,3241,1212,3394,4519,3791,3154,2440,820,1390
13,8,31858,18448,10059,3351,5134,3278,1119,3300,4264,3730,3028,2472,815,1367
14,8,31861,18556,10049,3256,5207,3256,1144,3369,4252,3672,3005,2472,815,1413
15,8,28404,16275,8724,3405,4636,2890,947,2814,3678,3276,2665,2257,724,1112
16,8,30569,17783,9662,3124,4949,3018,1033,3316,4169,3649,2860,2331,724,1396
17,8,31647,18472,9961,3214,5295,3165,1094,3363,4199,3701,2956,2450,857,1353
18,8,31851,18554,10001,3296,5170,3379,1078,3327,4156,3764,3081,2522,739,1339
19,8,31761,18376,10167,3218,5118,3216,1162,3319,4260,3820,2987,2463,820,1378
20,8,32898,19124,10289,3485,5312,3317,1133,3460,4414,3826,3135,2621,811,1384
21,8,31280,18066,10023,3191,5046,3216,1077,3279,4181,3678,3094,2344,798,1376
22,8,31089,18106,9815,3168,4908,3205,1110,3261,4223,3645,2995,2509,763,1302
23,8,31209,18272,9781,3156,5201,3233,1107,3273,4125,3606,2987,2440,776,1305
24,8,31485,18147,10098,3240,5085,3248,1078,3275,4200,3802,3016,2339,803,1399
25,8,31843,18442,9981,3420,5272,3240,1131,3245,4206,3733,2979,2479,779,1359
26,8,31335,18109,10058,3168,5113,3089,1140,3291,4175,3647,3043,2441,830,1398
27,8,31092,18102,9835,3155,5142,3218,1075,3249,4098,3752,2903,2395,760,1345
28,8,32009,18565,10092,3352,5258,3296,1154,3358,4282,3694,3044,2371,812,1388
29,8,30866,17989,9804,3073,4965,3223,1100,3215,4167,3668,2883,2419,766,1387
30,8,31046,18147,9748,3151,5165,3197,1096,3296,4148,3673,2860,2341,799,1320
31,8,30297,17545,9759,2993,4880,3048,1068,3085,4125,3612,2939,2407,777,1363
1,9,32604,18786,10166,3652,5366,3323,1053,3289,4342,3774,3156,2466,804,1379
2,9,31284,18237,9816,3231,5179,3202,1139,3259,4119,3663,2955,2478,793,1266
3,9,31311,18019,10054,3238,5025,3158,1129,3262,4184,3694,2979,2390,828,1424
4,9,31278,18107,9952,3219,5122,3229,1159,3311,4084,3718,2985,2361,728,1362
5,9,32005,18511,10089,3405,5169,3276,1115,3340,4244,3702,3050,2482,831,1391
6,9,31601,18361,9990,3250,5089,3282,1106,3250,4262,3783,2969,2478,752,1380
7,9,31716,18373,10130,3213,5093,3323,1120,3281,4229,3775,3014,2447,819,1402
8,9,31655,18379,10063,3213,5211,3236,1124,3303,4161,3719,3063,2468,813,1344
9,9,32060,18531,10240,3289,5280,3191,1131,3239,4344,3764,3100,2477,820,1425
10,9,33289,19186,10504,3599,5439,3314,1157,3466,4409,3861,3207,2558,871,1408
11,9,31771,18481,10075,3215,5268,3255,1124,3226,4288,3757,3030,2444,795,1369
12,9,31988,18491,10197,3300,5096,3256,1189,3415,4220,3759,3105,2504,801,1343
13,9,31727,18314,10148,3265,5221,3231,1117,3236,4225,3749,3012,2401,837,1433
14,9,32289,18681,10364,3244,5221,3322,1162,3358,4271,3857,3108,2509,796,1441
15,9,33887,19490,10771,3626,5515,3373,1182,3445,4606,3983,3293,2551,824,1489
16,9,32684,19015,10360,3309,5242,3349,1170,3447,4444,3776,3154,2533,817,1443
17,9,32458,18830,10344,3284,5276,3365,1193,3412,4309,3832,3027,2468,868,1424
18,9,32066,18423,10295,3348,5165,3320,1152,3269,4290,3825,3096,2379,792,1430
19,9,32425,18711,10318,3396,5214,3428,1204,3325,4236,3807,3107,2508,809,1391
