                                                 INSTNM    OPEID  REGION  SAT_AVG_ALL  PCTPELL  PCTFLOAN  ADM_RATE_ALL       UG  AVGFACSAL   COMPL_RPY_5YR_RT           DEBT_MDN  MEDIAN_HH_INC  \
109                                    Westmont College   134100       8       1179.0    0.207     0.582         0.812   1323.0     7058.0        0.933014354              19500       78788.61   
110                                    Whittier College   134200       8       1057.0    0.369     0.715         0.626   1294.0     8907.0         0.81294964              22998       73825.46   
111                                 Woodbury University   134300       8        944.0    0.443     0.608         0.576   1135.0     6783.0         0.81595092              28200       60713.37   
112                              Adams State University   134500       7        954.0    0.505     0.606         0.644   2080.0     5999.0        0.672839506              10992       50726.71   
113   University of Colorado Denver/Anschutz Medical...   450800       7       1055.0    0.275     0.353         0.674   8093.0     9877.0        0.806887238              13000       74050.41   
114             University of Colorado Colorado Springs   450900       7       1088.0    0.320     0.483         0.921   4967.0     7831.0        0.794830372              12500       70639.18   
115                      University of Colorado Boulder   137000       7       1212.0    0.172     0.307         0.796  23612.0    10687.0        0.830860534              13750       81327.65   
116                            Colorado School of Mines   134800       7       1339.0    0.169     0.443         0.377   2559.0    10786.0        0.958990536              22000       74353.28   
117              Colorado State University-Fort Collins   135000       7       1145.0    0.243     0.448         0.808  20728.0     9422.0        0.820435967              15781       73818.06   
118                                University of Denver   137100       7       1249.0    0.172     0.381         0.727   3992.0    10495.0        0.873487349              19500       78120.26   
119                                  Fort Lewis College   135300       7       1012.0    0.342     0.473         0.860   4285.0     7078.0        0.747810858              10500       61685.30   
120                            Colorado Mesa University   135800       7        952.0    0.389     0.546         0.831   5092.0     6609.0          0.7920434              11000       56304.40   
121             Metropolitan State University of Denver   136000       7        971.0    0.372     0.473         0.652  17688.0     6302.0        0.758007117              13250       71857.86   
122                     University of Northern Colorado   134900       7       1031.0    0.341     0.568         0.893  10213.0     7624.0        0.834288692              16750       72445.43   
123                                    Regis University   136300       7       1092.0    0.263     0.528         0.657   5446.0     7193.0        0.661764706              18789       74280.35   
124                    Colorado State University-Pueblo   136500       7        970.0    0.380     0.663         0.959   5303.0     6546.0        0.741935484              12500       54713.60   
125                   Western State Colorado University   137200       7        964.0    0.254     0.512         0.976   2325.0     6404.0  PrivacySuppressed              12000       68547.81   
126                            University of Bridgeport   141600       1        926.0    0.485     0.699         0.518   1277.0     7516.0        0.762589928              18250       63241.60   
127                Central Connecticut State University   137800       1       1011.0    0.353     0.574         0.587   9443.0     9118.0        0.778489117              16144       75579.11   
128                           University of Connecticut   141700       1       1233.0    0.212     0.497         0.534  13251.0    12269.0        0.910939013              18750       80999.86   
129                              University of Hartford   142200       1       1050.0    0.284     0.676         0.635   5367.0     7624.0        0.827718961            18709.5       82221.80   
130                             University of New Haven   139700       1       1066.0    0.258     0.681         0.821   2537.0     9622.0        0.860856269              21500       77310.15   
131                                     Post University   140100       1        893.0    0.486     0.548         0.811   1356.0     6109.0         0.72327044             7790.5       67090.63   
132                               Quinnipiac University   140200       1       1095.0    0.161     0.605         0.737   4843.0    10796.0        0.910278746              22000       87986.10   
133                          University of Saint Joseph   140900       1        932.0    0.357     0.734         0.927   1227.0     8002.0        0.857677903              23500       74607.00   
134                                St Vincent's College   619100       1        905.0    0.269     0.569         0.853    265.0     6081.0        0.769230769              15000       70910.63   
135               Southern Connecticut State University   140600       1        918.0    0.373     0.616         0.646   8080.0     8993.0        0.786266094              15738       74581.97   
136                                     Yale University   142600       1       1498.0    0.129     0.104         0.067   5351.0    16516.0        0.913357401              13000       75345.96   
137                           Delaware State University   142800       2        892.0    0.471     0.652         0.444   2855.0     7202.0        0.541666667              19500       60801.87   
138                              University of Delaware   143100       2       1198.0    0.140     0.521         0.666  16110.0    12188.0        0.890909091              21500       84189.75   
139                                      Wesley College   143300       2        836.0    0.525     0.866         0.626   1513.0     7134.0        0.690666667              11000       70367.14   
140                                 American University   143400       2       1252.0    0.171     0.460         0.350   5701.0    11203.0        0.863348416              20500       81657.17   
141                                Gallaudet University   144300       2        883.0    0.525     0.420         0.619   1258.0     9996.0        0.715189873              11850       65746.56   
142                        George Washington University   144400       2       1294.0    0.145     0.399         0.465   8837.0    13364.0        0.910714286              21900       85677.46   
143                               Georgetown University   144500       2       1416.0    0.126     0.275         0.172   6418.0    13979.0        0.924722662              14750       82187.36   
144                                   Howard University   144800       2       1105.0    0.490     0.837         0.490   6569.0     9092.0        0.489632107              22500       66680.20   
145                      The Baptist College of Florida  2159600       5        946.0    0.681     0.598         0.522    549.0     4834.0        0.641025641              12918       50305.97   
146                                    Barry University   146600       5        926.0    0.509     0.657         0.551   5777.0     7762.0        0.617627568              21500       58621.88   
147                                     Lynn University   150500       5        999.0    0.194     0.496         0.760   1817.0     5306.0        0.620853081              10000       78627.36   
148                          Johnson University Florida   349503       5       1009.0    0.575     0.697         0.504    222.0     6959.0  PrivacySuppressed              14250       59004.31   
149                       University of Central Florida   395400       5       1179.0    0.386     0.441         0.486  28252.0     9257.0         0.74870792              14500       62518.63   
150                                      Eckerd College   148700       5       1134.0    0.216     0.685         0.717   1572.0     6989.0           0.771875              20000       68211.73   
151                               Edward Waters College   147800       5        781.0    0.816     0.826         0.537    987.0     4892.0        0.304878049              10250       47937.99   
152      Florida Agricultural and Mechanical University   148000       5        966.0    0.611     0.676         0.514  10707.0     8287.0        0.550653595              23000       52786.24   
153                         Florida Atlantic University   148100       5       1047.0    0.396     0.386         0.677  17496.0     8446.0        0.712536443              12000       63066.25   
154                        Flagler College-St Augustine   789300       5       1071.0    0.303     0.608         0.505   1830.0     6266.0        0.718829517              15750       63843.09   
155                                     Florida College   148200       5       1008.0    0.339     0.622         0.811    537.0     6993.0        0.893617021              10000       63903.31   
156             Adventist University of Health Sciences  3115500       5        928.0    0.377     0.603         0.603    581.0     7013.0        0.754158965              16436       60028.37   
157                     Florida Institute of Technology   146900       5       1194.0    0.217     0.367         0.574   2033.0     9302.0        0.885714286               9500       68086.59   
158                    Florida International University   963500       5       1090.0    0.553     0.644         0.504  26222.0     9923.0        0.729080365              13600       58110.89   
159                            Florida Southern College   148800       5       1172.0    0.288     0.658         0.453   2334.0     6809.0        0.712962963              14500       60789.21   
160                            Florida State University   148900       5       1215.0    0.318     0.459         0.559  27021.0    10204.0        0.772094529              18600       60914.47   
161                               University of Florida   153500       5       1272.0    0.303     0.305         0.477  32680.0    10955.0        0.759671533              14750       60120.16   
162                                 University of Miami   153600       5       1319.0    0.161     0.280         0.378   8955.0    11529.0        0.848802395              18000       71124.00   
163                         University of North Florida   984100       5       1140.0    0.314     0.393         0.566  10663.0     7888.0           0.734375              12500       62628.24   
